User_ID,Backup_ID,Action,Timestamp,IP,Device,Status,Reason
U047,B276,Delete,2026-01-17 06:42:55,89.154.183.10,Personal,Denied,RBAC rule
U025,B246,Restore,2026-03-19 16:50:24,22.77.131.244,Corporate,Denied,RBAC rule
U082,B228,Delete,2026-04-01 21:58:01,223.101.181.20,Personal,Allowed,Access granted
U036,B158,Delete,2026-03-15 07:39:10,193.59.182.130,Personal,Allowed,Access granted
U020,B043,List,2026-03-12 02:24:45,215.191.18.18,Corporate,Allowed,Access granted
U051,B147,List,2026-02-17 14:54:09,80.85.104.170,Personal,Allowed,Access granted
U029,B240,Delete,2026-01-17 06:00:01,150.97.171.75,Personal,Denied,RBAC rule
U031,B162,Delete,2026-01-07 13:32:53,80.45.137.112,Personal,Denied,RBAC rule
U030,B165,Delete,2026-01-13 10:58:18,221.112.148.163,Corporate,Denied,RBAC rule
U091,B196,Restore,2026-03-03 16:58:08,199.198.220.38,Personal,Allowed,Access granted
U069,B086,List,2026-03-22 00:50:22,162.139.67.17,Personal,Allowed,Access granted
U068,B123,Download,2026-04-01 04:33:02,50.108.180.26,Corporate,Allowed,Access granted
U009,B073,Delete,2026-01-20 19:56:40,37.253.152.218,Personal,Allowed,Access granted
U041,B031,List,2026-02-02 07:34:53,48.4.108.76,Personal,Allowed,Access granted
U061,B014,Delete,2026-02-18 17:17:08,74.252.71.200,Personal,Denied,RBAC rule
U008,B043,List,2026-01-24 18:30:06,91.244.11.179,Personal,Denied,RBAC rule
U060,B276,Download,2026-03-13 03:44:47,141.52.4.29,Personal,Denied,RBAC rule
U003,B201,Restore,2026-02-26 23:12:49,164.57.175.119,Corporate,Allowed,Access granted
U058,B126,Delete,2026-01-21 11:04:54,139.87.208.248,Corporate,Allowed,Access granted
U017,B269,Restore,2026-01-22 00:47:00,179.2.0.245,Personal,Allowed,Access granted
U017,B121,Restore,2026-01-23 07:53:09,68.19.79.167,Personal,Allowed,Access granted
U050,B165,Delete,2026-02-09 13:51:18,75.81.95.143,Corporate,Allowed,Access granted
U089,B020,Download,2026-03-19 06:55:11,110.186.165.218,Personal,Denied,RBAC rule
U034,B110,Restore,2026-01-24 15:13:42,72.251.117.216,Personal,Denied,RBAC rule
U092,B046,Delete,2026-03-11 16:42:41,21.95.206.228,Personal,Allowed,Access granted
U061,B288,List,2026-03-13 22:53:34,203.109.182.44,Personal,Denied,RBAC rule
U055,B188,Download,2026-03-09 12:07:55,72.196.55.39,Corporate,Denied,RBAC rule
U042,B045,Download,2026-02-28 08:50:14,155.245.97.132,Corporate,Allowed,Access granted
U048,B228,Download,2026-01-18 19:19:30,95.37.177.28,Personal,Allowed,Access granted
U015,B060,List,2026-01-21 23:33:15,66.146.54.231,Corporate,Allowed,Access granted
U024,B293,Download,2026-02-19 13:59:56,144.16.253.236,Corporate,Allowed,Access granted
U021,B175,List,2026-02-16 17:57:56,206.141.252.246,Corporate,Denied,RBAC rule
U035,B137,Download,2026-02-03 22:06:18,141.128.81.244,Personal,Denied,RBAC rule
U010,B168,Download,2026-02-24 03:48:11,195.77.125.93,Personal,Allowed,Access granted
U035,B246,Download,2026-02-01 06:08:17,213.186.108.121,Corporate,Allowed,Access granted
U044,B055,Restore,2026-03-30 08:05:28,88.58.213.74,Corporate,Allowed,Access granted
U039,B264,Delete,2026-02-02 16:09:25,56.191.21.157,Personal,Denied,RBAC rule
U036,B256,List,2026-03-16 16:55:39,210.237.217.106,Personal,Allowed,Access granted
U070,B058,Restore,2026-02-26 21:53:48,56.11.230.160,Personal,Denied,RBAC rule
U073,B006,Download,2026-01-18 00:34:31,86.47.129.196,Corporate,Denied,RBAC rule
U077,B086,Delete,2026-03-02 22:24:00,48.142.68.102,Corporate,Denied,RBAC rule
U071,B109,Restore,2026-03-05 09:08:13,59.98.86.36,Corporate,Denied,RBAC rule
U091,B201,Delete,2026-01-18 22:08:00,36.248.129.212,Corporate,Denied,RBAC rule
U072,B199,Download,2026-02-06 05:11:51,215.190.211.92,Personal,Denied,RBAC rule
U013,B092,Restore,2026-03-30 13:57:55,90.59.19.110,Corporate,Allowed,Access granted
U074,B065,Download,2026-03-27 17:33:58,72.143.156.119,Personal,Allowed,Access granted
U035,B274,Delete,2026-02-19 07:03:32,68.40.239.74,Corporate,Allowed,Access granted
U100,B053,Delete,2026-02-08 11:20:43,205.2.84.201,Personal,Allowed,Access granted
U081,B041,Delete,2026-03-20 12:17:33,183.199.112.23,Corporate,Allowed,Access granted
U068,B250,Restore,2026-02-03 04:22:20,168.62.181.51,Personal,Denied,RBAC rule
U049,B199,Delete,2026-01-27 06:57:27,119.243.157.212,Personal,Allowed,Access granted
U086,B046,List,2026-03-10 20:05:36,29.99.225.78,Personal,Allowed,Access granted
U002,B283,Restore,2026-03-12 16:51:18,90.229.127.246,Personal,Allowed,Access granted
U081,B093,List,2026-01-07 09:38:32,22.238.61.119,Personal,Denied,RBAC rule
U008,B082,Download,2026-02-11 18:41:30,36.75.186.111,Corporate,Allowed,Access granted
U006,B108,Restore,2026-03-15 02:51:31,53.218.55.17,Personal,Allowed,Access granted
U026,B067,List,2026-01-01 13:59:39,223.56.230.182,Personal,Denied,RBAC rule
U031,B057,List,2026-03-16 04:06:32,151.91.150.225,Corporate,Allowed,Access granted
U037,B164,Restore,2026-03-12 01:53:18,46.27.155.29,Personal,Denied,RBAC rule
U049,B282,Delete,2026-01-29 06:56:46,68.95.197.20,Corporate,Allowed,Access granted
U005,B254,Restore,2026-03-29 10:50:11,7.90.2.153,Personal,Denied,RBAC rule
U038,B219,List,2026-01-31 07:13:16,61.232.97.219,Personal,Allowed,Access granted
U030,B010,Restore,2026-01-31 14:13:58,145.42.153.21,Personal,Allowed,Access granted
U075,B058,List,2026-02-28 11:15:58,165.173.124.125,Corporate,Denied,RBAC rule
U082,B272,Download,2026-04-01 22:39:20,4.204.11.182,Personal,Allowed,Access granted
U071,B121,Restore,2026-02-12 06:07:50,40.250.235.64,Personal,Denied,RBAC rule
U100,B211,Download,2026-03-16 10:47:56,126.90.21.249,Personal,Allowed,Access granted
U012,B122,Download,2026-03-02 13:25:35,223.219.182.154,Corporate,Allowed,Access granted
U073,B281,Download,2026-01-01 19:57:53,29.222.208.215,Personal,Denied,RBAC rule
U031,B170,List,2026-02-19 23:04:01,133.97.247.4,Corporate,Allowed,Access granted
U008,B236,Restore,2026-03-09 23:39:00,142.126.214.50,Corporate,Allowed,Access granted
U024,B021,List,2026-02-02 18:16:57,5.108.255.28,Corporate,Allowed,Access granted
U083,B290,Download,2026-02-12 16:04:07,179.108.133.106,Personal,Denied,RBAC rule
U046,B161,List,2026-03-01 20:17:58,163.253.60.149,Corporate,Allowed,Access granted
U075,B049,List,2026-02-26 00:07:12,15.24.47.28,Corporate,Denied,RBAC rule
U087,B068,List,2026-03-15 15:03:23,135.36.158.95,Corporate,Allowed,Access granted
U074,B056,List,2026-01-04 15:00:19,63.239.221.255,Personal,Denied,RBAC rule
U015,B208,Restore,2026-03-18 10:22:46,112.150.230.241,Personal,Allowed,Access granted
U077,B268,Delete,2026-01-14 00:08:11,2.210.196.184,Personal,Allowed,Access granted
U017,B135,Delete,2026-01-06 08:24:19,41.35.141.189,Personal,Allowed,Access granted
U080,B153,Restore,2026-03-11 10:42:20,218.99.68.242,Corporate,Denied,RBAC rule
U036,B106,Delete,2026-03-18 00:47:15,170.167.171.111,Personal,Allowed,Access granted
U084,B181,Download,2026-02-06 11:29:59,37.208.64.121,Personal,Allowed,Access granted
U056,B296,Download,2026-03-10 02:10:55,139.130.62.110,Personal,Allowed,Access granted
U053,B242,List,2026-01-24 13:14:07,149.17.68.141,Personal,Denied,RBAC rule
U045,B276,Download,2026-01-26 13:45:08,66.28.128.156,Corporate,Allowed,Access granted
U048,B259,Download,2026-02-12 12:37:11,219.24.34.45,Personal,Allowed,Access granted
U078,B257,Delete,2026-03-02 18:25:45,31.253.106.77,Personal,Denied,RBAC rule
U049,B258,List,2026-01-01 07:17:59,59.2.207.120,Personal,Allowed,Access granted
U081,B178,Delete,2026-01-12 02:29:54,42.29.144.154,Corporate,Denied,RBAC rule
U022,B194,Delete,2026-02-09 14:31:50,220.138.191.60,Personal,Denied,RBAC rule
U069,B172,Restore,2026-03-20 21:14:05,93.33.39.179,Personal,Allowed,Access granted
U026,B030,Download,2026-03-04 10:18:33,100.219.0.135,Corporate,Denied,RBAC rule
U061,B232,Delete,2026-03-30 20:57:45,15.170.112.214,Personal,Allowed,Access granted
U022,B173,List,2026-01-24 22:27:28,88.7.109.103,Corporate,Allowed,Access granted
U015,B209,Delete,2026-01-07 17:17:24,222.121.228.152,Personal,Denied,RBAC rule
U004,B117,Restore,2026-02-18 00:34:00,162.20.63.165,Personal,Allowed,Access granted
U024,B119,Download,2026-01-12 03:56:46,143.120.51.197,Personal,Allowed,Access granted
U031,B042,List,2026-01-02 17:24:46,35.65.30.243,Personal,Denied,RBAC rule
U043,B203,Download,2026-03-27 20:32:26,11.199.15.232,Personal,Denied,RBAC rule
U080,B102,List,2026-02-26 06:21:28,193.19.198.111,Corporate,Allowed,Access granted
U005,B291,Download,2026-02-11 20:33:58,57.32.148.38,Personal,Allowed,Access granted
U025,B023,Restore,2026-02-22 14:05:49,159.208.143.163,Corporate,Denied,RBAC rule
U047,B274,List,2026-01-28 05:24:38,65.197.25.165,Corporate,Allowed,Access granted
U092,B104,Delete,2026-02-06 05:15:11,187.47.131.220,Personal,Denied,RBAC rule
U028,B216,Download,2026-03-16 05:16:10,99.18.91.44,Corporate,Denied,RBAC rule
U087,B160,Delete,2026-03-26 06:55:03,191.21.175.163,Personal,Denied,RBAC rule
U015,B222,List,2026-02-02 19:55:12,125.146.176.248,Personal,Denied,RBAC rule
U086,B134,Download,2026-03-19 12:57:44,115.224.66.253,Personal,Allowed,Access granted
U044,B227,Restore,2026-02-10 16:18:55,212.44.112.224,Personal,Allowed,Access granted
U019,B289,List,2026-01-20 08:02:03,26.182.158.20,Personal,Allowed,Access granted
U100,B066,List,2026-02-27 06:03:42,30.232.16.215,Corporate,Denied,RBAC rule
U040,B064,Delete,2026-03-14 23:39:33,161.154.79.24,Personal,Denied,RBAC rule
U047,B182,List,2026-01-04 07:32:18,150.152.158.65,Personal,Denied,RBAC rule
U095,B008,List,2026-02-01 07:04:07,135.95.207.94,Corporate,Allowed,Access granted
U064,B222,Download,2026-03-21 10:28:31,204.91.199.70,Personal,Allowed,Access granted
U077,B197,Download,2026-02-22 22:14:50,206.53.64.119,Corporate,Denied,RBAC rule
U018,B172,Download,2026-03-19 01:02:43,152.138.231.38,Corporate,Denied,RBAC rule
U059,B199,Download,2026-03-24 08:19:07,144.242.22.86,Personal,Denied,RBAC rule
U007,B229,Restore,2026-02-09 19:33:49,132.113.110.67,Corporate,Denied,RBAC rule
U067,B108,Download,2026-01-06 13:51:52,176.244.176.227,Corporate,Denied,RBAC rule
U050,B132,List,2026-03-27 23:56:29,97.38.35.181,Corporate,Allowed,Access granted
U076,B125,List,2026-03-22 04:32:49,38.54.182.71,Personal,Allowed,Access granted
