Backup_ID,User_ID,Backup_Time,Version,File_List,Size,Restore_Count
B001,U084,2026-02-15 02:06:22,v1,action.txt,337MB,3
B002,U016,2026-03-08 20:57:10,v2,I.txt;morning.txt;mission.txt,38MB,4
B003,U092,2026-01-20 02:05:34,v2,grow.txt;two.txt;large.txt,380MB,3
B004,U076,2026-01-02 08:57:40,v1,artist.txt,471MB,2
B005,U094,2026-01-25 03:42:21,v3,prevent.txt;scientist.txt;name.txt,332MB,2
B006,U035,2026-03-13 10:24:41,v2,already.txt;bar.txt,75MB,4
B007,U097,2026-01-24 13:36:06,v2,table.txt;American.txt,366MB,1
B008,U029,2026-04-01 16:46:29,v3,body.txt,33MB,0
B009,U062,2026-03-29 14:48:47,v2,front.txt;few.txt,366MB,3
B010,U057,2026-01-26 09:43:48,v2,especially.txt;sit.txt;for.txt,246MB,2
B011,U068,2026-01-20 05:51:55,v3,again.txt;spend.txt,250MB,5
B012,U018,2026-02-01 06:22:35,v2,report.txt;letter.txt;trip.txt,384MB,2
B013,U009,2026-02-04 20:19:45,v1,international.txt;right.txt;need.txt,148MB,2
B014,U076,2026-02-12 02:24:29,v2,machine.txt;join.txt,181MB,5
B015,U051,2026-01-03 14:50:19,v1,ago.txt,371MB,3
B016,U029,2026-01-03 17:44:41,v3,likely.txt,256MB,2
B017,U072,2026-01-28 01:26:40,v3,particular.txt;answer.txt,336MB,2
B018,U096,2026-01-02 04:27:39,v1,environmental.txt,321MB,5
B019,U077,2026-01-18 08:38:29,v2,central.txt,368MB,0
B020,U025,2026-03-28 04:17:08,v3,professor.txt,484MB,1
B021,U046,2026-03-17 16:17:49,v1,four.txt,362MB,1
B022,U064,2026-01-21 04:20:06,v2,different.txt,45MB,5
B023,U083,2026-02-22 01:49:47,v1,term.txt,313MB,4
B024,U045,2026-03-21 02:14:54,v3,within.txt,169MB,3
B025,U053,2026-03-02 12:45:56,v1,central.txt,404MB,1
B026,U011,2026-01-19 03:49:18,v3,central.txt,465MB,4
B027,U048,2026-01-19 14:59:52,v2,various.txt,261MB,4
B028,U036,2026-02-05 10:28:01,v2,significant.txt;international.txt,85MB,5
B029,U002,2026-02-22 08:39:15,v2,company.txt,485MB,5
B030,U071,2026-01-01 17:52:12,v1,eat.txt;season.txt;how.txt,469MB,0
B031,U097,2026-01-08 02:15:26,v2,garden.txt;mission.txt,104MB,5
B032,U091,2026-03-25 21:02:54,v3,modern.txt;itself.txt;reduce.txt,256MB,2
B033,U085,2026-01-06 09:05:01,v1,game.txt;he.txt,112MB,0
B034,U006,2026-03-04 11:39:14,v3,fly.txt;floor.txt;claim.txt,12MB,4
B035,U083,2026-03-20 22:07:24,v3,better.txt;top.txt,76MB,5
B036,U077,2026-03-26 02:12:35,v3,direction.txt;safe.txt;help.txt,183MB,4
B037,U072,2026-02-16 19:47:32,v3,need.txt,279MB,2
B038,U084,2026-03-29 02:39:27,v2,energy.txt,497MB,2
B039,U043,2026-01-23 21:00:42,v2,minute.txt;others.txt;value.txt,300MB,1
B040,U055,2026-02-13 13:05:21,v2,building.txt,423MB,4
B041,U096,2026-03-07 06:22:10,v2,together.txt,155MB,3
B042,U056,2026-03-15 07:58:20,v1,view.txt;magazine.txt;government.txt,209MB,1
B043,U005,2026-01-02 00:44:53,v2,challenge.txt;front.txt;her.txt,65MB,5
B044,U050,2026-03-18 23:27:31,v1,increase.txt;list.txt;night.txt,483MB,0
B045,U007,2026-03-20 15:44:11,v2,explain.txt;among.txt,123MB,4
B046,U091,2026-03-11 15:45:17,v2,read.txt;raise.txt,345MB,1
B047,U090,2026-01-08 21:54:53,v1,lay.txt,444MB,4
B048,U034,2026-03-11 09:39:12,v3,officer.txt,288MB,0
B049,U100,2026-03-20 18:54:24,v1,subject.txt;discuss.txt,248MB,0
B050,U089,2026-03-22 01:16:07,v1,music.txt;effect.txt;plant.txt,185MB,1
